latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-13.99582,133.8696,338.07,1.01,1,2021-10-28,0124,T,81,6.1NRT,311.26,18.15,D
-13.99716,133.87885,332.57,1.01,1,2021-10-28,0124,T,41,6.1NRT,310.46,9.73,D
-13.45733,130.26108,333.09,1.29,1.13,2021-10-28,0124,T,43,6.1NRT,306.53,22.13,D
-13.99677,133.81287,335.94,1,1,2021-10-28,0124,T,78,6.1NRT,308.26,16.42,D
-14.00173,133.78386,328.69,1,1,2021-10-28,0124,T,28,6.1NRT,307.07,8.54,D
-14.00308,133.79309,334.68,1,1,2021-10-28,0124,T,72,6.1NRT,307.42,15.55,D
-13.62038,131.1777,327.49,1.14,1.07,2021-10-28,0124,T,46,6.1NRT,292.75,12.35,D
-14.00938,133.7733,327.78,1,1,2021-10-28,0124,T,24,6.1NRT,306.02,8.92,D
-14.01073,133.78253,342.31,1,1,2021-10-28,0124,T,86,6.1NRT,307.4,29.05,D
-13.67097,131.1629,332.61,1.14,1.07,2021-10-28,0124,T,75,6.1NRT,301.1,19.38,D
-13.6726,131.17339,328.35,1.14,1.06,2021-10-28,0124,T,27,6.1NRT,301.05,14.12,D
-14.07592,133.85121,331.69,1.01,1,2021-10-28,0124,T,43,6.1NRT,309.78,7.83,D
-14.07726,133.86046,346.2,1.01,1,2021-10-28,0124,T,90,6.1NRT,310.09,32.16,D
-14.08358,133.84065,336.33,1.01,1,2021-10-28,0124,T,70,6.1NRT,307.91,14.86,D
-14.08492,133.84987,352.3,1.01,1,2021-10-28,0124,T,94,6.1NRT,308.89,45.13,D
-14.08626,133.85912,337.19,1.01,1,2021-10-28,0124,T,79,6.1NRT,308.78,17.14,D
-14.05361,133.57207,332.96,1,1,2021-10-28,0124,T,73,6.1NRT,310.26,11.82,D
-14.0599,133.55235,345.08,1,1,2021-10-28,0124,T,89,6.1NRT,310.54,32.22,D
-14.06125,133.56154,340.48,1,1,2021-10-28,0124,T,84,6.1NRT,310.59,22.69,D
-14.06259,133.57072,332.39,1,1,2021-10-28,0124,T,56,6.1NRT,310.93,9.64,D
-14.06528,133.58913,332.91,1,1,2021-10-28,0124,T,41,6.1NRT,310.15,10.84,D
-14.06888,133.55101,340.41,1,1,2021-10-28,0124,T,84,6.1NRT,310.38,23.68,D
-14.07023,133.5602,334.15,1,1,2021-10-28,0124,T,68,6.1NRT,311.56,12.6,D
-14.07732,133.54369,339.47,1,1,2021-10-28,0124,T,83,6.1NRT,307.64,22.4,D
-14.07866,133.55287,352.03,1,1,2021-10-28,0124,T,94,6.1NRT,311.81,45.88,D
-14.08086,133.31767,331.42,1,1,2021-10-28,0124,T,42,6.1NRT,308.71,9.82,D
-14.09119,133.3255,335.17,1,1,2021-10-28,0124,T,50,6.1NRT,308.35,13.59,D
-14.10016,133.32414,334.15,1,1,2021-10-28,0124,T,61,6.1NRT,310.29,10.91,D
-14.23661,134.1346,335.13,1.02,1.01,2021-10-28,0124,T,73,6.1NRT,313.6,14.23,D
-14.12845,133.32927,335.94,1,1,2021-10-28,0124,T,75,6.1NRT,310.32,13.66,D
-14.13944,133.34003,331.15,1,1,2021-10-28,0124,T,67,6.1NRT,308.85,8.93,D
-14.22155,133.71335,335.98,1,1,2021-10-28,0124,T,66,6.1NRT,312.73,13.18,D
-14.23322,133.73045,334.52,1,1,2021-10-28,0124,T,28,6.1NRT,311.38,10.36,D
-14.23416,133.67378,333.39,1,1,2021-10-28,0124,T,57,6.1NRT,311.56,8.79,D
-15.31896,142.28183,325.8,3.47,1.75,2021-10-28,0124,T,34,6.1NRT,301.32,46.17,D
-15.3258,142.34653,325.08,3.51,1.76,2021-10-28,0124,T,16,6.1NRT,300.98,50.49,D
-14.27189,133.74356,336.92,1,1,2021-10-28,0124,T,78,6.1NRT,310.7,13.71,D
-14.28089,133.74223,347.11,1,1,2021-10-28,0124,T,90,6.1NRT,313.07,32.37,D
-14.28651,133.71651,336.45,1,1,2021-10-28,0124,T,77,6.1NRT,310.93,17.91,D
-14.28785,133.72572,344.09,1,1,2021-10-28,0124,T,87,6.1NRT,311.23,30.55,D
-14.28918,133.73495,374.94,1,1,2021-10-28,0124,T,100,6.1NRT,312.1,113.78,D
-14.29052,133.74419,349.39,1,1,2021-10-28,0124,T,92,6.1NRT,310.3,40.17,D
-15.33504,142.34029,328.84,3.51,1.76,2021-10-28,0124,T,76,6.1NRT,301.4,68.07,D
-14.2955,133.71516,333.39,1,1,2021-10-28,0124,T,71,6.1NRT,307.29,13.1,D
-14.29684,133.72438,342.58,1,1,2021-10-28,0124,T,86,6.1NRT,309.33,27.59,D
-14.36873,134.15994,369.63,1.02,1.01,2021-10-28,0124,T,100,6.1NRT,314.91,95.06,D
-14.37008,134.16933,342.91,1.02,1.01,2021-10-28,0124,T,80,6.1NRT,315.53,25.49,D
-15.36283,142.14328,324.56,3.39,1.74,2021-10-28,0124,T,52,6.1NRT,300.5,31.46,D
-14.43486,134.16942,339.18,1.02,1.01,2021-10-28,0124,T,73,6.1NRT,310.86,19.94,D
-14.44242,134.16193,335.46,1.02,1.01,2021-10-28,0124,T,73,6.1NRT,309.08,16.73,D
-15.6094,143.34947,324.58,4.22,1.9,2021-10-28,0124,T,47,6.1NRT,292.16,113.36,D
-15.61219,143.34383,326.16,4.22,1.9,2021-10-28,0124,T,48,6.1NRT,292.91,125.14,D
-14.62552,134.02676,331.69,1.01,1.01,2021-10-28,0124,T,41,6.1NRT,312.54,8.29,D
-14.00003,129.81728,329.77,1.34,1.15,2021-10-28,0124,T,45,6.1NRT,304.82,15.8,D
-14.09578,130.03197,332.39,1.3,1.13,2021-10-28,0124,T,39,6.1NRT,307.34,21.91,D
-14.10398,130.01836,334.02,1.3,1.13,2021-10-28,0124,T,49,6.1NRT,307.18,24.17,D
-14.10592,130.03029,332.48,1.3,1.13,2021-10-28,0124,T,33,6.1NRT,306.21,23.84,D
-14.07258,129.76105,330.97,1.35,1.15,2021-10-28,0124,T,39,6.1NRT,305.66,22.31,D
-14.11024,129.99274,331.64,1.31,1.13,2021-10-28,0124,T,35,6.1NRT,306.28,19.34,D
-14.11218,130.00471,330.74,1.3,1.13,2021-10-28,0124,T,42,6.1NRT,305.51,19.91,D
-14.0829,129.75931,328.21,1.35,1.15,2021-10-28,0124,T,61,6.1NRT,303.95,19.06,D
-14.12234,130.00302,331.91,1.3,1.13,2021-10-28,0124,T,49,6.1NRT,306.26,24.06,D
-14.93043,134.16495,343.34,1.02,1.01,2021-10-28,0124,T,86,6.1NRT,311.7,27.04,D
-14.93178,134.17442,379.9,1.02,1.01,2021-10-28,0124,T,100,6.1NRT,313.74,135.66,D
-14.85604,132.70863,331.24,1.01,1,2021-10-28,0124,T,61,6.1NRT,308.57,9.5,D
-14.86366,132.69795,329.77,1.01,1,2021-10-28,0124,T,51,6.1NRT,308.38,7.43,D
-14.88562,132.65993,327.44,1.01,1,2021-10-28,0124,T,21,6.1NRT,306.3,4.91,D
-14.89464,132.65852,335.38,1.01,1,2021-10-28,0124,T,78,6.1NRT,307.99,15.08,D
-16.24798,143.44583,341.04,4.38,1.93,2021-10-28,0124,T,87,6.1NRT,298.58,272.23,D
-16.26136,143.40355,330.23,4.34,1.92,2021-10-28,0124,T,64,6.1NRT,297.55,125.14,D
-16.26537,143.44403,328.26,4.38,1.93,2021-10-28,0124,T,47,6.1NRT,300.11,106.56,D
-16.27873,143.40195,330.05,4.34,1.92,2021-10-28,0124,T,63,6.1NRT,298.37,116.52,D
